LIQRESOR,REALPROP,WRK_POOR,RAWNET,FSNONCIT,FSTANF,FSERNDED,SHELDED,CERTHHSZ,HWGT,FSSLTDE2,FSGRINC,FSEARN,FSSTDDE2,FSTOTDE2,FSTOTDED,RAWERND,FSUNEARN,TANF_IND,FSNELDER,TPOV,FSSLTDED,FSDIS,FSASSET,FSERNDE2,FSWAGES,FSUSIZE,FSSSI,FSNETINC,FSGA,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,0.0,0.0,255.0,0.0,389.0,0.0,0.0,3.0,788.258696840136,0.0,389.0,0.0,134.0,134.0,134.0,0.0,389.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,255.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,125.0,2.0,0.0,170.0,417.0,4.0,760.2697129613572,417.0,852.0,852.0,139.0,726.0,726.0,170.0,0.0,0.0,0.0,51.0,417.0,0.0,0.0,170.0,852.0,4.0,0.0,126.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,120.0,0.0,417.0,3.0,704.5805438707989,0.0,170.0,0.0,0.0,170.0,611.0,0.0,170.0,1.0,0.0,12.0,417.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,5.0,747.4949387192787,0.0,0.0,0.0,0.0,0.0,579.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,278.0,0.0,114.0,103.0,115.0,2.0,796.6865540457782,114.0,630.0,516.0,201.0,351.0,351.0,103.0,114.0,1.0,0.0,57.0,114.0,0.0,0.0,154.0,516.0,2.0,0.0,279.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1.0,743.1708434696594,0.0,231.0,0.0,134.0,134.0,134.0,0.0,231.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,231.0,1.0,1.0,0.0
0.0,0.0,1.0,573.0,0.0,310.0,183.0,164.0,2.0,892.3187288676908,163.0,1226.0,916.0,201.0,652.0,652.0,183.0,310.0,1.0,0.0,111.0,163.0,0.0,0.0,274.0,916.0,2.0,0.0,574.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,2.0,705.4012962642042,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,678.0,0.0,0.0,203.0,0.0,2.0,926.0073359137072,0.0,1015.0,1015.0,134.0,337.0,337.0,203.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,203.0,1015.0,2.0,0.0,678.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1.0,743.1708434696594,0.0,231.0,0.0,134.0,134.0,134.0,0.0,231.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,231.0,1.0,1.0,0.0
0.0,0.0,0.0,380.0,0.0,0.0,0.0,114.0,1.0,835.5428305209961,114.0,628.0,0.0,201.0,248.0,248.0,0.0,628.0,0.0,1.0,77.0,114.0,0.0,0.0,0.0,0.0,1.0,427.0,380.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,389.0,0.0,322.0,3.0,704.5805438707989,255.0,389.0,0.0,134.0,389.0,456.0,0.0,389.0,1.0,0.0,28.0,322.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,308.0,0.0,0.0,0.0,52.0,4.0,818.9530929645381,52.0,499.0,0.0,191.0,191.0,191.0,0.0,499.0,0.0,0.0,30.0,52.0,1.0,0.0,0.0,0.0,4.0,0.0,308.0,0.0,0.0,1.0,0.0
